level1,data_date,total_power
住宿业,2020-05-01,0.0
住宿业,2020-05-02,44791.259999999995
住宿业,2020-05-03,49896.71999999942
住宿业,2020-05-04,46355.15000000011
住宿业,2020-05-05,44151.95999999998
住宿业,2020-05-06,40709.460000000014
住宿业,2020-05-07,38324.53999999998
住宿业,2020-05-08,44027.62000000027
住宿业,2020-05-09,43421.560000000194
住宿业,2020-05-10,43501.59999999942
住宿业,2020-05-11,45105.829999999965
住宿业,2020-05-12,46446.96999999954
住宿业,2020-05-13,46822.16000000068
住宿业,2020-05-14,47404.84000000069
住宿业,2020-05-15,51374.84999999915
住宿业,2020-05-16,50825.61999999991
住宿业,2020-05-17,53762.09000000064
住宿业,2020-05-18,53859.63999999919
住宿业,2020-05-19,50539.26000000055
住宿业,2020-05-20,53812.11999999998
住宿业,2020-05-21,50881.65999999986
住宿业,2020-05-22,50684.8199999996
住宿业,2020-05-23,51108.34000000048
住宿业,2020-05-24,53675.080000000045
住宿业,2020-05-25,52136.97000000027
住宿业,2020-05-26,48428.46999999965
住宿业,2020-05-27,51824.740000000136
住宿业,2020-05-28,54020.3599999998
住宿业,2020-05-29,52842.02999999964
住宿业,2020-05-30,47118.75000000078
住宿业,2020-05-31,50177.40000000018
住宿业,2020-06-01,54722.199999999044
住宿业,2020-06-02,58933.71000000079
住宿业,2020-06-03,59069.729999999996
住宿业,2020-06-04,61648.7799999995
住宿业,2020-06-05,56082.53000000059
住宿业,2020-06-06,55720.78999999989
住宿业,2020-06-07,54887.11999999981
住宿业,2020-06-08,57474.919999999365
住宿业,2020-06-09,59714.15000000026
住宿业,2020-06-10,66235.40000000055
住宿业,2020-06-11,69643.59999999983
住宿业,2020-06-12,75499.72999999986
住宿业,2020-06-13,77536.81000000016
住宿业,2020-06-14,77077.66999999945
住宿业,2020-06-15,71185.47000000044
住宿业,2020-06-16,65857.23000000042
住宿业,2020-06-17,71761.29000000007
住宿业,2020-06-18,73640.28999999927
住宿业,2020-06-19,65934.10000000036
住宿业,2020-06-20,72799.29000000007
住宿业,2020-06-21,57461.86999999946
住宿业,2020-06-22,60241.56000000058
住宿业,2020-06-23,65769.37999999995
住宿业,2020-06-24,66317.19999999992
住宿业,2020-06-25,61624.68999999969
住宿业,2020-06-26,69401.06000000026
住宿业,2020-06-27,68362.37000000008
住宿业,2020-06-28,79371.48000000016
住宿业,2020-06-29,69835.99999999936
住宿业,2020-06-30,67495.48999999979
住宿业,2020-07-01,69455.01000000039
住宿业,2020-07-02,66790.46000000034
住宿业,2020-07-03,72841.4499999999
住宿业,2020-07-04,65753.62999999999
住宿业,2020-07-05,63939.699999999706
住宿业,2020-07-06,67730.05000000048
住宿业,2020-07-07,76518.89
住宿业,2020-07-08,77033.43999999971
住宿业,2020-07-09,74211.02000000003
住宿业,2020-07-10,71250.56000000019
住宿业,2020-07-11,71183.60999999972
住宿业,2020-07-12,83124.05999999972
住宿业,2020-07-13,79908.55000000012
住宿业,2020-07-14,70585.9300000008
住宿业,2020-07-15,59134.47999999913
住宿业,2020-07-16,57037.03000000022
住宿业,2020-07-17,57720.65000000026
住宿业,2020-07-18,70503.41999999981
住宿业,2020-07-19,79303.37000000002
住宿业,2020-07-20,72082.54000000005
住宿业,2020-07-21,77488.71999999983
住宿业,2020-07-22,87707.39999999954
住宿业,2020-07-23,92923.52000000006
住宿业,2020-07-24,82712.92000000052
住宿业,2020-07-25,78615.78999999967
住宿业,2020-07-26,79690.35000000047
住宿业,2020-07-27,84642.6900000002
住宿业,2020-07-28,87627.67999999966
住宿业,2020-07-29,91299.38999999991
住宿业,2020-07-30,94847.19000000035
住宿业,2020-07-31,95845.24999999993
住宿业,2020-08-01,97345.44999999987
住宿业,2020-08-02,96932.95999999999
住宿业,2020-08-03,97070.7700000002
住宿业,2020-08-04,93991.02000000016
住宿业,2020-08-05,84160.31999999954
住宿业,2020-08-06,92821.32999999999
住宿业,2020-08-07,98564.27999999955
住宿业,2020-08-08,95157.93000000076
住宿业,2020-08-09,97375.26999999974
住宿业,2020-08-10,95661.76999999963
住宿业,2020-08-11,92696.0900000002
住宿业,2020-08-12,100918.67000000038
住宿业,2020-08-13,104427.77000000006
住宿业,2020-08-14,107841.81999999972
住宿业,2020-08-15,101064.92999999988
住宿业,2020-08-16,101657.6399999999
住宿业,2020-08-17,95590.15000000034
住宿业,2020-08-18,111983.52999999942
