level1,data_date,total_power
住宿业,2020-05-01,0.0
住宿业,2020-05-02,44791.260000000024
住宿业,2020-05-03,49896.719999999994
住宿业,2020-05-04,46355.15000000001
住宿业,2020-05-05,44151.960000000014
住宿业,2020-05-06,40709.460000000014
住宿业,2020-05-07,38324.53999999999
住宿业,2020-05-08,44027.62000000002
住宿业,2020-05-09,43421.56000000002
住宿业,2020-05-10,43501.6
住宿业,2020-05-11,45105.829999999994
住宿业,2020-05-12,46446.970000000016
住宿业,2020-05-13,46822.15999999997
住宿业,2020-05-14,47404.840000000004
住宿业,2020-05-15,51374.85
住宿业,2020-05-16,50825.62000000002
住宿业,2020-05-17,53762.09
住宿业,2020-05-18,53859.63999999998
住宿业,2020-05-19,50539.26000000002
住宿业,2020-05-20,53812.12000000001
住宿业,2020-05-21,50881.66000000002
住宿业,2020-05-22,50684.819999999985
住宿业,2020-05-23,51108.340000000004
住宿业,2020-05-24,53675.08000000001
住宿业,2020-05-25,52136.96999999999
住宿业,2020-05-26,48428.47000000002
住宿业,2020-05-27,51824.74000000001
住宿业,2020-05-28,54020.36000000002
住宿业,2020-05-29,52842.02999999999
住宿业,2020-05-30,47118.75
住宿业,2020-05-31,50177.39999999999
住宿业,2020-06-01,54722.2
住宿业,2020-06-02,58933.71
住宿业,2020-06-03,59069.73000000002
住宿业,2020-06-04,61648.78000000003
住宿业,2020-06-05,56082.53
住宿业,2020-06-06,55720.79000000001
住宿业,2020-06-07,54887.119999999995
住宿业,2020-06-08,57474.92000000002
住宿业,2020-06-09,59714.15
住宿业,2020-06-10,66235.40000000001
住宿业,2020-06-11,69643.59999999999
住宿业,2020-06-12,75499.73000000001
住宿业,2020-06-13,77536.81000000001
住宿业,2020-06-14,77077.67000000003
住宿业,2020-06-15,71185.47000000002
住宿业,2020-06-16,65857.23000000003
住宿业,2020-06-17,71761.29000000002
住宿业,2020-06-18,73640.29
住宿业,2020-06-19,65934.1
住宿业,2020-06-20,72799.29000000002
住宿业,2020-06-21,57461.86999999998
住宿业,2020-06-22,60241.560000000034
住宿业,2020-06-23,65769.38
住宿业,2020-06-24,66317.20000000001
住宿业,2020-06-25,61624.689999999995
住宿业,2020-06-26,69401.06
住宿业,2020-06-27,26962.14
住宿业,2020-06-28,79371.48
住宿业,2020-06-29,69836.0
住宿业,2020-06-30,67495.49
住宿业,2020-07-01,69455.00999999998
住宿业,2020-07-02,66790.45999999999
住宿业,2020-07-03,72841.44999999997
住宿业,2020-07-04,65753.62999999999
住宿业,2020-07-05,63939.69999999997
住宿业,2020-07-06,67730.04999999999
住宿业,2020-07-07,76518.89000000003
住宿业,2020-07-08,77033.43999999999
住宿业,2020-07-09,74211.02
住宿业,2020-07-10,71250.55999999997
住宿业,2020-07-11,71183.60999999999
住宿业,2020-07-12,83124.06000000003
住宿业,2020-07-13,79908.54999999999
住宿业,2020-07-14,70585.93000000002
住宿业,2020-07-15,59134.47999999999
住宿业,2020-07-16,57037.03000000002
住宿业,2020-07-17,57720.650000000016
住宿业,2020-07-18,70503.41999999997
住宿业,2020-07-19,79303.37
住宿业,2020-07-20,72082.53999999998
住宿业,2020-07-21,77488.71999999997
住宿业,2020-07-22,87707.40000000001
住宿业,2020-07-23,92923.52000000003
住宿业,2020-07-24,82712.91999999998
住宿业,2020-07-25,78615.79000000004
住宿业,2020-07-26,79690.34999999999
住宿业,2020-07-27,84642.69
住宿业,2020-07-28,87627.68
住宿业,2020-07-29,91299.38999999996
住宿业,2020-07-30,94847.19000000002
住宿业,2020-07-31,95845.24999999999
住宿业,2020-08-01,97345.45000000001
住宿业,2020-08-02,96932.95999999999
住宿业,2020-08-03,97070.77
住宿业,2020-08-04,93991.01999999997
住宿业,2020-08-05,84160.31999999999
住宿业,2020-08-06,92821.32999999997
住宿业,2020-08-07,98564.27999999998
住宿业,2020-08-08,95157.93000000001
住宿业,2020-08-09,97375.26999999997
住宿业,2020-08-10,95661.76999999996
住宿业,2020-08-11,92696.09000000007
住宿业,2020-08-12,100918.67
住宿业,2020-08-13,104427.76999999996
住宿业,2020-08-14,107841.82000000005
住宿业,2020-08-15,101064.93000000004
住宿业,2020-08-16,101657.64000000006
住宿业,2020-08-17,95590.14999999997
住宿业,2020-08-18,111983.53
住宿业,2020-08-19,98693.86
住宿业,2020-08-20,104540.48000000007
住宿业,2020-08-21,97826.52999999998
住宿业,2020-08-22,98810.83000000003
住宿业,2020-08-23,93079.62999999996
住宿业,2020-08-24,96648.28000000001
住宿业,2020-08-25,102171.33999999997
住宿业,2020-08-26,97334.82999999999
住宿业,2020-08-27,93181.09999999996
住宿业,2020-08-28,86071.72000000006
住宿业,2020-08-29,80578.98999999999
住宿业,2020-08-30,86333.36000000003
住宿业,2020-08-31,89407.91000000003
住宿业,2020-09-01,88739.28
住宿业,2020-09-02,84600.69999999997
住宿业,2020-09-03,77662.43000000001
住宿业,2020-09-04,77532.07999999999
住宿业,2020-09-05,77091.12999999996
住宿业,2020-09-06,73729.58999999997
住宿业,2020-09-07,76088.84000000003
住宿业,2020-09-08,84532.09999999998
住宿业,2020-09-09,80487.93000000004
住宿业,2020-09-10,80806.62999999999
住宿业,2020-09-11,69370.98999999998
住宿业,2020-09-12,65728.88999999997
住宿业,2020-09-13,66024.78000000001
住宿业,2020-09-14,64059.32999999998
住宿业,2020-09-15,61153.82999999997
住宿业,2020-09-16,65027.33
住宿业,2020-09-17,66532.87999999999
住宿业,2020-09-18,52855.40999999998
住宿业,2020-09-19,51544.659999999974
住宿业,2020-09-20,52292.21000000001
住宿业,2020-09-21,54630.38999999999
住宿业,2020-09-22,54233.740000000005
住宿业,2020-09-23,38682.77999999998
住宿业,2020-09-24,68719.37
住宿业,2020-09-25,54027.7
住宿业,2020-09-26,55518.31999999998
住宿业,2020-09-27,54102.11999999999
住宿业,2020-09-28,54262.669999999984
住宿业,2020-09-29,53171.87999999997
住宿业,2020-09-30,45154.50000000001
住宿业,2020-10-01,63980.92000000002
住宿业,2020-10-02,57739.82
住宿业,2020-10-03,56921.96999999996
住宿业,2020-10-04,52848.31999999999
住宿业,2020-10-05,49090.04000000001
住宿业,2020-10-06,49307.14000000001
住宿业,2020-10-07,47530.84999999998
住宿业,2020-10-08,47416.19000000001
住宿业,2020-10-09,48789.66000000002
住宿业,2020-10-10,49440.560000000005
住宿业,2020-10-11,48742.909999999996
住宿业,2020-10-12,51026.549999999974
住宿业,2020-10-13,52120.24000000002
住宿业,2020-10-14,50832.889999999985
住宿业,2020-10-15,49738.200000000004
住宿业,2020-10-16,50440.80999999998
住宿业,2020-10-17,49834.02
住宿业,2020-10-18,49458.22999999998
住宿业,2020-10-19,48175.74
住宿业,2020-10-20,49046.18999999998
住宿业,2020-10-21,48795.740000000005
住宿业,2020-10-22,48919.2
住宿业,2020-10-23,49964.65999999999
住宿业,2020-10-24,47974.08000000001
住宿业,2020-10-25,48083.26999999999
住宿业,2020-10-26,46345.95999999999
住宿业,2020-10-27,46263.38
住宿业,2020-10-28,47195.37000000002
住宿业,2020-10-29,0.0
住宿业,2020-10-30,47672.270000000004
住宿业,2020-10-31,46904.23
住宿业,2020-11-01,45912.46999999999
住宿业,2020-11-02,46015.58000000004
住宿业,2020-11-03,48062.689999999995
住宿业,2020-11-04,48348.280000000006
