yc_id,cluster
"3,636,266",0
"5,708,078",1
"7,627,367",1
"7,630,571",0
"5,701,892",1
"13,958,849",1
"13,960,860",0
"11,922,587",1
"15,642,655",1
"17,530,218",1
"7,777,915",1
"14,060,727",1
"15,735,377",1
"5,629,081",0
"7,692,405",1
"17,336,797",0
"9,050,853",1
"9,223,664",1
"4,840,849",1
"10,771,881",0
"11,074,603",1
"13,847,463",1
"13,918,596",1
"17,338,629",1
"4,274,068",1
"5,046,220",0
"5,264,492",1
"15,520,516",1
"10,731,082",0
"15,778,325",1
"7,752,778",0
"12,650,202",1
"13,920,173",0
"13,983,286",1
"17,500,104",1
"17,985,598",1
"3,928,008",1
"4,372,290",1
"4,624,950",1
"6,973,730",0
"8,457,974",0
"14,028,764",2
"17,370,602",1
"3,636,668",1
"16,047,959",1
"4,960,080",0
"16,011,965",1
"3,424,636",1
"3,650,655",1
"7,690,492",1
"8,811,783",1
"9,483,581",1
"14,016,264",1
"16,730,083",1
"16,762,295",1
"3,324,120",1
"4,745,118",1
"12,936,740",1
"1,428,481",0
"13,665,913",0
"2,617,002",1
"11,844,673",1
"14,070,894",1
"4,101,138",1
"9,325,372",0
"13,885,959",0
"2,624,823",1
"10,015,758",1
"13,099,344",1
"13,849,582",0
"15,980,310",1
"3,207,975",0
"9,706,092",0
"13,885,319",0
"5,942,093",0
"11,406,979",1
"16,054,724",1
"2,680,466",1
"5,754,647",0
"6,027,406",1
"10,872,622",1
"2,576,616",0
"4,179,398",0
"6,704,317",1
"14,026,652",0
"15,646,485",0
"3,366,810",1
"6,428,743",0
"7,293,588",1
"9,860,221",1
"1,323,033",1
"12,286,888",0
"16,089,538",1
"17,600,521",1
"4,221,271",1
"8,010,205",1
"8,017,738",2
"10,018,348",2
"13,851,832",1
"13,997,083",1
"14,192,413",1
"17,051,494",1
"2,354,584",1
"4,221,291",1
"6,023,538",0
"8,453,768",1
"14,065,783",1
"10,194,479",0
"12,140,763",0
"13,969,179",1
"4,032,360",1
"5,076,570",1
"4,707,756",1
"14,462,137",0
"1,087,632",1
"13,571,194",0
"13,756,295",0
"13,895,066",0
"13,986,351",1
"15,812,406",1
"17,044,362",1
"2,427,122",1
"3,218,971",1
"7,797,123",0
"9,536,890",0
"13,041,355",0
"10,138,851",0
"2,968,910",1
"7,906,396",1
"7,382,844",0
"12,523,077",1
"14,008,836",1
"14,636,862",1
"4,461,811",1
"7,311,943",1
"7,660,554",0
"13,727,370",0
"5,095,889",1
"13,140,046",0
"13,842,522",1
"2,864,180",1
"9,051,699",1
"11,306,199",1
"12,547,776",2
"5,071,653",0
"5,930,084",1
"10,210,663",1
"5,009,166",0
"12,267,030",1
"12,507,259",1
"12,685,143",1
"13,759,989",1
"3,928,160",1
"4,537,056",0
"9,300,432",1
"16,096,930",0
"9,448,653",1
"13,124,794",0
"13,951,112",1
"14,179,894",1
"17,443,207",0
"7,967,886",1
"9,052,610",1
"9,308,575",1
"12,197,926",0
"12,198,363",1
"8,497,031",0
"9,411,973",1
"1,245,278",1
"13,960,881",1
"3,218,983",0
"3,939,535",0
"4,223,316",1
"15,934,910",1
"2,799,919",2
"10,975,065",0
"2,529,394",0
"3,208,811",0
"4,109,315",1
"5,764,524",1
"8,997,326",0
"15,906,339",1
"9,051,034",1
"13,143,002",1
"5,179,060",1
"5,482,842",1
"5,754,266",0
"7,765,248",2
"9,412,044",1
"13,237,696",0
"2,354,572",1
"2,533,323",1
"3,335,295",1
"5,931,929",1
"6,988,102",0
"2,585,030",0
"16,080,915",1
"13,786,747",0
"16,890,599",0
"2,433,240",1
"3,744,866",1
"9,094,622",0
"13,902,368",0
"14,027,060",1
"15,291,983",1
"16,903,168",1
"1,506,989",1
"4,128,095",0
"4,131,514",1
"9,373,376",0
"10,245,093",1
"12,294,986",1
"2,021,637",0
"3,227,802",1
"9,816,299",1
"12,411,683",1
"17,326,769",0
"4,998,677",1
"5,667,049",0
"1,306,229",1
"11,845,165",1
"14,087,550",0
"15,453,805",0
"2,583,536",1
"5,073,927",1
"14,038,135",1
"12,132,125",1
"16,306,034",1
"2,847,408",0
"6,697,638",1
"9,301,895",1
"1,180,826",1
"3,265,711",1
"15,532,765",1
"17,445,055",1
"3,214,386",1
"5,883,403",0
"7,744,799",0
"11,261,109",1
"13,901,009",0
"15,520,498",1
"17,381,137",0
"9,447,143",1
"9,065,009",0
"2,866,895",1
"3,017,528",1
"4,989,318",0
"13,111,214",0
"13,783,962",0
"16,890,514",1
"9,369,863",0
"13,636,292",1
"13,999,223",0
"14,141,171",1
"3,528,805",0
"9,527,855",1
"9,703,519",2
"1,507,062",1
"13,031,923",1
"13,978,902",1
"3,117,601",0
"11,991,238",0
"12,211,247",1
"13,627,846",1
"17,462,589",0
"17,567,828",1
"5,097,993",0
"5,683,657",0
"7,010,185",0
"7,830,330",1
"8,017,804",1
"12,278,241",1
"17,349,860",2
"14,139,815",1
"14,446,554",1
"2,997,450",1
"4,357,235",0
"5,045,016",0
"5,178,774",1
"6,709,656",0
"9,462,421",1
"11,304,801",1
"11,279,328",0
"16,693,624",0
"14,064,447",1
"15,515,408",1
"2,800,778",0
"4,286,932",2
"7,611,047",0
"5,179,051",1
"3,328,183",0
"7,294,753",0
"9,211,052",2
"12,701,879",0
"13,159,708",1
"17,220,799",1
"8,084,529",0
"10,695,356",1
"14,540,789",0
"6,628,335",1
"8,006,527",1
"4,924,452",1
"5,700,406",1
"14,985,370",0
"16,485,662",1
"2,494,806",1
"9,053,335",0
"13,057,732",1
"3,682,922",0
"4,374,691",2
"5,707,471",1
"12,999,072",1
"5,002,620",0
"5,080,515",1
"14,220,731",1
"4,275,583",1
"5,043,162",1
"6,697,238",1
"7,841,755",2
"16,362,388",1
"4,463,405",1
"5,004,311",0
"7,655,955",1
"14,181,291",0
"17,238,891",0
"17,601,574",1
"5,199,969",0
"9,047,550",1
"17,139,430",1
"17,599,473",2
"4,900,174",1
"8,428,641",1
"5,040,452",0
"1,126,715",1
"1,266,736",1
"1,490,598",0
"13,000,623",1
"13,927,550",0
"2,575,404",1
"4,637,618",1
"6,990,290",0
"9,369,872",2
"11,056,883",1
"12,177,479",2
"2,781,130",1
"10,874,556",1
"5,705,897",0
"7,712,564",0
"17,444,396",1
"17,344,062",0
"4,798,161",1
"13,667,707",1
"12,180,448",1
"17,495,665",1
"8,461,810",0
"13,470,034",0
"13,913,913",0
"7,010,207",1
"16,438,191",1
"1,128,506",1
"10,185,157",1
"12,602,673",1
"7,301,990",1
"5,752,751",1
"1,343,771",0
"10,138,370",1
"12,398,325",1
"2,491,639",1
"15,805,106",1
"17,353,933",0
"2,834,168",0
"10,883,258",1
"13,027,122",0
"13,430,012",1
"14,088,377",1
"3,711,007",0
"3,750,700",0
"7,467,858",1
"9,924,601",0
"1,492,240",1
"11,992,856",1
"14,080,665",1
"8,515,993",0
"8,811,807",0
"9,462,671",1
"9,816,306",0
"15,162,596",1
"3,673,831",1
"3,847,131",0
"5,380,062",0
"11,854,846",1
"3,354,951",1
"7,541,572",0
"9,821,915",0
"2,981,531",0
"9,069,372",0
"17,520,835",1
"16,216,127",1
"4,036,497",0
"1,170,583",1
"10,001,479",1
"15,776,052",0
